expo,table,project,sponsors,link,category,special
A,A1,Cards Against Humanity,Best Domain Name from Domain.com,http://bitcamp2018.devpost.com/submissions/92302-cards-against-humanity,Design Trail,
A,A11,Char(k)ity,Decentralise Everything: Blockchain challenge - Ark,http://bitcamp2018.devpost.com/submissions/92282-char-k-ity,Hacker Trail,
A,A13,CryptoPricePredictor-v0.01,"Best Financial Hack - Capital One, Most Unique Hack - 1517 Fund",http://bitcamp2018.devpost.com/submissions/92286-cryptopricepredictor-v0-01,Hacker Trail,
A,A2,fold x fold,,http://bitcamp2018.devpost.com/submissions/92310-fold-x-fold,Design Trail,
A,A3,https://medium.com/@pixelyunicorn/title-e9c5bc245104,,http://bitcamp2018.devpost.com/submissions/92338-https-medium-com-pixelyunicorn-title-e9c5bc245104,Design Trail,
A,A4,Bitfolio for eko,Best Designed Investor Education Product - Finra,http://bitcamp2018.devpost.com/submissions/92454-bitfolio-for-eko,Design Trail,
A,A5,Flow,"Most Futuristic Hack - Paypal, Best Financial Hack - Capital One, Best Use of MongoDB Stitch - MongoDB, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook, Best Accessibility Hack - Microsoft",http://bitcamp2018.devpost.com/submissions/92398-flow,Hacker Trail,
A,A7,To DoGether,,http://bitcamp2018.devpost.com/submissions/92274-to-dogether,Hacker Trail,
A,A9,Pythagorean Triple Finder,,http://bitcamp2018.devpost.com/submissions/92277-pythagorean-triple-finder,Hacker Trail,
A,B1,finabanana,Best Designed Investor Education Product - Finra,http://bitcamp2018.devpost.com/submissions/92456-finabanana,Design Trail,
A,B10,Vote Code,"Amazon Web Services - Best Use of AWS, Best Use of MongoDB Stitch - MongoDB, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92309-vote-code,Hacker Trail,
A,B12,How to Adult,Best Designed Investor Education Product - Finra,http://bitcamp2018.devpost.com/submissions/92317-how-to-adult,Hacker Trail,
A,B2,FINFREE,Best Designed Investor Education Product - Finra,http://bitcamp2018.devpost.com/submissions/92496-finfree,Design Trail,
A,B3,Finra Design Challenge,Best Designed Investor Education Product - Finra,http://bitcamp2018.devpost.com/submissions/92506-finra-design-challenge,Design Trail,
A,B4,Rally (Web App),"Best Domain Name from Domain.com, Best Use of MongoDB Stitch - MongoDB, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92296-rally-web-app,Hacker Trail,
A,B6,multiplA.R.,"Most Futuristic Hack - Paypal, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92303-multipla-r,Hacker Trail,
A,B8,Interactive Projection Mapping,"Most Futuristic Hack - Paypal, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92508-interactive-projection-mapping,Hacker Trail,
A,C1,Swype,"Most Futuristic Hack - Paypal, Best Financial Hack - Capital One, Most Unique Hack - 1517 Fund, Best Digital Forensic Hack - Cipher Tech Solutions, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92319-swype,Hacker Trail,
A,C11,Hand-in-Hand,"Best Hack for Aiding Natural Disaster Recovery Efforts - Booz Allen Hamilton, Most Unique Hack - 1517 Fund, Best Philanthropic Hack - Bloomberg, Best Hack (be passionate) - Facebook, Best Hack with Esri APIs and SDKs - Esri",http://bitcamp2018.devpost.com/submissions/92348-hand-in-hand,Hacker Trail,
A,C13,D&D Town Tool,,http://bitcamp2018.devpost.com/submissions/92359-d-d-town-tool,Hacker Trail,
A,C3,Twitter Emotion/Sentiment Analysis,Best Hack (be passionate) - Facebook,http://bitcamp2018.devpost.com/submissions/92324-twitter-emotion-sentiment-analysis,Hacker Trail,
A,C5,Renewable Energy and Policy,Most Unique Hack - 1517 Fund,http://bitcamp2018.devpost.com/submissions/92328-renewable-energy-and-policy,Hacker Trail,
A,C7,Tilted,"Amazon Web Services - Best Use of AWS, Best Domain Name from Domain.com, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92334-tilted,Hacker Trail,
A,C9,middleOutSubscriptions,"Best use of SparkPost API - SparkPost, Amazon Web Services - Best Use of AWS, Best Domain Name from Domain.com, Most Unique Hack - 1517 Fund",http://bitcamp2018.devpost.com/submissions/92337-middleoutsubscriptions,Hacker Trail,
A,D10,Rally (iOS app),"Best Domain Name from Domain.com, Best Use of MongoDB Stitch - MongoDB, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92377-rally-ios-app,Hacker Trail,
A,D12,Konnex,,http://bitcamp2018.devpost.com/submissions/92381-konnex,Hacker Trail,
A,D2,CardFree,"Most Futuristic Hack - Paypal, Most Unique Hack - 1517 Fund, Best Digital Forensic Hack - Cipher Tech Solutions, Best Hack (be passionate) - Facebook, Best Accessibility Hack - Microsoft",http://bitcamp2018.devpost.com/submissions/92362-cardfree,Hacker Trail,
A,D4,OpticTrace,"Best Digital Forensic Hack - Cipher Tech Solutions, Best Philanthropic Hack - Bloomberg, Best Hack (be passionate) - Facebook, Best Accessibility Hack - Microsoft",http://bitcamp2018.devpost.com/submissions/92368-optictrace,Hacker Trail,
A,D6,CleanShot,"Most Futuristic Hack - Paypal, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92371-cleanshot,Hacker Trail,
A,D7,ScheduLit,"Most Futuristic Hack - Paypal, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92229-schedulit,Scout Trail,
A,D8,future-funk-generator,,http://bitcamp2018.devpost.com/submissions/92375-future-funk-generator,Hacker Trail,
A,E1,Augmented Reality Presentation Tool,Best Hack for Aiding Natural Disaster Recovery Efforts - Booz Allen Hamilton,http://bitcamp2018.devpost.com/submissions/92385-augmented-reality-presentation-tool,Hacker Trail,
A,E11,Inbox Analysis,,http://bitcamp2018.devpost.com/submissions/92459-inbox-analysis,Hacker Trail,
A,E13,Pluto,"Best Use of MongoDB Stitch - MongoDB, Amazon Web Services - Best Use of AWS, Best Designed Investor Education Product - Finra, Best Accessibility Hack - Microsoft",http://bitcamp2018.devpost.com/submissions/92469-pluto,Scout Trail,
A,E3, Serendipity,,http://bitcamp2018.devpost.com/submissions/92387-serendipity,Hacker Trail,
A,E5,tensorscript compiler,"Most Futuristic Hack - Paypal, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92408-tensorscript-compiler,Hacker Trail,
A,E7,busten_fakes,Best Digital Forensic Hack - Cipher Tech Solutions,http://bitcamp2018.devpost.com/submissions/92435-busten_fakes,Hacker Trail,
A,E9,Breadcrumbs,"Best Hack with Esri APIs and SDKs - Esri, Best Domain Name from Domain.com, Most Futuristic Hack - Paypal, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92448-breadcrumbs,Hacker Trail,
A,F10,ResQueue,"Best Hack for Aiding Natural Disaster Recovery Efforts - Booz Allen Hamilton, Improving Healthcare with Mobile Technologies - Credible Behavioral Health, Best Philanthropic Hack - Bloomberg",http://bitcamp2018.devpost.com/submissions/92502-resqueue,Hacker Trail,
